FOOD,TANDOORI ,NON VEG,HARIALI KABAB,Great Galaxy,180 .00,,
FOOD,TANDOORI ,NON VEG,GARLIC KABAB,Great Galaxy,180 .00,,
FOOD,TANDOORI ,NON VEG,CHICKEN SICK KABAB,Great Galaxy,180 .00,,
FOOD,TANDOORI ,NON VEG,MUTTON SICK KABAB,Great Galaxy,180 .00,,
FOOD,TANDOORI ,NON VEG,MUTTON TIKKA,Great Galaxy,200 .00,,
FOOD,TANDOORI ,VEG.,PANNER TIKKA,Great Galaxy,150 .00,,
FOOD,TANDOORI ,VEG.,ERANI PANNER,Great Galaxy,150 .00,,
FOOD,TANDOORI ,VEG.,PANNER SICK KABAB,Great Galaxy,150 .00,,
FOOD,TANDOORI ,VEG.,VEG SICK KABAB,Great Galaxy,150 .00,,
FOOD,TANDOORI ,VEG.,ALU TIKKA,Great Galaxy,150 .00,,
FOOD,TANDOORI ,VEG.,TANDOORI GOBI,Great Galaxy,150 .00,,
FOOD,TANDOORI ,VEG.,HARABARA KABAB,Great Galaxy,150 .00,,
FOOD,TANDOORI ,VEG.,CORN SICK KABAB,Great Galaxy,120 .00,,
FOOD,TANDOORI ,VEG.,MASALA PAPAD,Great Galaxy,20 .00,,
FOOD,TANDOORI ,VEG.,FRY PAPAD,Great Galaxy,15 .00,,
FOOD,TANDOORI ,VEG.,ROASTED PAPAD,Great Galaxy,15 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN CURRY,Great Galaxy,150 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN KADAI,Great Galaxy,150 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN MASALA,Great Galaxy,150. 00,,
FOOD,GRAVY'S,NON VEG,CHICKEN BUTTER,Great Galaxy,150 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN MOGALAI,Great Galaxy,150 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN METHI,Great Galaxy,150 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN RAYALASEEMA,Great Galaxy,160 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN MUTTER CURRY,Great Galaxy,160 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN PUNJABI,Great Galaxy,160 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN MAHARANI,Great Galaxy,160 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN NOORANI,Great Galaxy,160 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN AFGHANI,Great Galaxy,160 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN DILRUBA,Great Galaxy,170 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN KOLHAPURI,Great Galaxy,170 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN SHAHI LURMA,Great Galaxy,170 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN SIMLA CURRY,Great Galaxy,170 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN KHEEMA CURRY,Great Galaxy,170 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN GINGER MASALA,Great Galaxy,170 .00,,
FOOD,GRAVY'S,NON VEG,CHICKEN GALAXY SPL,Great Galaxy,200 .00,,
FOOD,GRAVY'S,NON VEG,MUTTON CURRY,Great Galaxy,180 .00,,
FOOD,GRAVY'S,NON VEG,MUTTON MASALA,Great Galaxy,180 .00,,
FOOD,GRAVY'S,NON VEG,MUTTON KADAI,Great Galaxy,180 .00,,
FOOD,GRAVY'S,NON VEG,MUTTON MOGALAI,Great Galaxy,180 .00,,
FOOD,GRAVY'S,NON VEG,MUTTON GINGER MASALA,Great Galaxy,180 .00,,
FOOD,GRAVY'S,NON VEG,MUTTON KHEEMA CURRY,Great Galaxy,180 .00,,
FOOD,GRAVY'S,NON VEG,MUTTON AFGHANI,Great Galaxy,180 .00,,
FOOD,GRAVY'S,NON VEG,MUTTON DILRUBA,Great Galaxy,180 .00,,
FOOD,GRAVY'S,NON VEG,MUTTON SHAHI KURMA,Great Galaxy,180 .00,,
FOOD,GRAVY'S,NON VEG,MUTTON GALAXY SPL,Great Galaxy,220 . 00,,
FOOD,GRAVY'S,NON VEG,FISH CURRY,Great Galaxy,190 .00,,
FOOD,GRAVY'S,NON VEG,FISH MASALA,Great Galaxy,190 .00,,
FOOD,GRAVY'S,NON VEG,FISH GINGER MASALA,Great Galaxy,190 .00,,
FOOD,GRAVY'S,NON VEG,POILET FISH CURRY,Great Galaxy,190 .00,,
FOOD,GRAVY'S,NON VEG,POILET FISH MASALA,Great Galaxy,190 .00,,
FOOD,GRAVY'S,NON VEG,POILET FISH GINGER MASALA ,Great Galaxy,190 .00,,
FOOD,GRAVY'S,NON VEG,PRAWNS MASALA,Great Galaxy,200 .00,,
FOOD,GRAVY'S,NON VEG,PRAWNS KADAI,Great Galaxy,200 .00,,
FOOD,GRAVY'S,NON VEG,PRAWNS GINGER MASALA,Great Galaxy,200 .00,,
FOOD,BIRIYANI'S,NON VEG,CHICKEN DUM BIRIYANI,Great Galaxy,150 .00,,
FOOD,BIRIYANI'S,NON VEG,CHICKEN SPL BIRIYANI,Great Galaxy,170 .00,,
FOOD,BIRIYANI'S,NON VEG,MUTTON SPL BIRIYANI,Great Galaxy,180 .00,,
FOOD,BIRIYANI'S,NON VEG,PRAWNS BIRIYANI,Great Galaxy,190 .00,,
FOOD,BIRIYANI'S,NON VEG,FISH BIRIYANI (KATLA),Great Galaxy,170 .00,,
FOOD,BIRIYANI'S,NON VEG,POILET FISH BIRIYANI,Great Galaxy,190 .00,,
FOOD,BIRIYANI'S,NON VEG,EGG. BIRIYANI,Great Galaxy,120 .00,,
FOOD,BIRIYANI'S,NON VEG,BIRIYANI RICE,Great Galaxy,100 .00,,
FOOD,BIRIYANI'S,NON VEG,CHICKEN BIRIYANI,Great Galaxy,350 .00,,
FOOD,BIRIYANI'S,NON VEG,CHICKEN BIRIYANI,Great Galaxy,400 .00,,
FOOD,BIRIYANI'S,NON VEG,MUTTON SPL BIRIYANI,Great Galaxy,530 .00,,
FOOD,BIRIYANI'S,NON VEG,KUNDA BIRIYANI CHICKEN,Great Galaxy,600 .00,,
FOOD,BIRIYANI'S,NON VEG,KUNDA BIRIYANI MUTTON,Great Galaxy,700 .00,,
FOOD,RICE ITEMS,NON VEG,CHICKEN FRIED RICE,Great Galaxy,130. 00,,
FOOD,RICE ITEMS,NON VEG,MUTTON FRIED RICE,Great Galaxy,140. 00,,
FOOD,RICE ITEMS,NON VEG,MIXED FRIED RICE,Great Galaxy,200 .00,,
FOOD,RICE ITEMS,NON VEG,EGG FRIED RICE,Great Galaxy,100 .00,,
FOOD,RICE ITEMS,VEG.,JEERA RICE,Great Galaxy,90 .00,,
FOOD,RICE ITEMS,VEG.,VEG FRIED RICE,Great Galaxy,90 .00,,
FOOD,RICE ITEMS,VEG.,TOMATO FRIED RICE,Great Galaxy,90 .00,,
FOOD,RICE ITEMS,VEG.,GOBI FRIED RICE,Great Galaxy,90 .00,,
FOOD,RICE ITEMS,VEG.,GREEN PEAS PALAV,Great Galaxy,90 .00,,
FOOD,RICE ITEMS,VEG.,GHEE RICE,Great Galaxy,100 .00,,
FOOD,RICE ITEMS,VEG.,VEG BIRIYANI,Great Galaxy,110. 00,,
FOOD,RICE ITEMS,VEG.,CASHEWNUT FRIED NUT,Great Galaxy,110 .00,,
FOOD,RICE ITEMS,VEG.,PANEER CASHEW PALAV,Great Galaxy,110 .00,,
FOOD,RICE ITEMS,VEG.,MIXED VEG PALAV,Great Galaxy,110. 00,,
FOOD,RICE ITEMS,VEG.,PANEER FRIED RICE,Great Galaxy,110. 00,,
FOOD,RICE ITEMS,VEG.,MUSHROOM FRIED RICE,Great Galaxy,130 .00,,
FOOD,RICE ITEMS,VEG.,CURD RICE SPL,Great Galaxy,50. 00,,
FOOD,EGG ITEMS,VEG.,OMLET PLAIN,Great Galaxy,30 .00,,
FOOD,EGG ITEMS,VEG.,OMLET MASALA,Great Galaxy,40 .00,,
FOOD,EGG ITEMS,VEG.,EGG FRY,Great Galaxy,40 .00,,
FOOD,EGG ITEMS,VEG.,EGG CHILLY,Great Galaxy,40 .00,,
FOOD,EGG ITEMS,VEG.,EGG BURJI,Great Galaxy,40 .00,,
FOOD,EGG ITEMS,VEG.,EGG 65,Great Galaxy,80 .00,,
FOOD,EGG ITEMS,VEG.,EGG PAKODA,Great Galaxy,80 .00,,
FOOD,EGG ITEMS,VEG.,EGG MANCHURIA,Great Galaxy,80 .00,,
FOOD,EGG ITEMS,VEG.,EGG CURRY,Great Galaxy,90 .00,,
FOOD,EGG ITEMS,VEG.,EGG MASALA,Great Galaxy,90 .00,,
FOOD,EGG ITEMS,VEG.,EGG KADAI,Great Galaxy,90 .00,,
FOOD,EGG ITEMS,VEG.,BOILED EGG EACH,Great Galaxy,10 .00,,
FOOD,VEG. WET,VEG.,VEG MANCHURIA,Great Galaxy,130 .00,,
FOOD,VEG. WET,VEG.,PANEER CHILLY WET,Great Galaxy,130 .00,,
FOOD,VEG. WET,VEG.,MUSHROOM CHILLY WET,Great Galaxy,140 .00,,
FOOD,VEG. WET,VEG.,MUSHROOM MANCHURIA WET,Great Galaxy,140 .00,,
FOOD,VEG. WET,VEG.,ONION RING PAKODA,Great Galaxy,140. 00,,
FOOD,VEG. WET,VEG.,GOBI 65,Great Galaxy,140. 00,,
FOOD,VEG. WET,VEG.,GOBI MANCHURIA,Great Galaxy,90 .00,,
FOOD,VEG. WET,VEG.,CAPSICUM PAKODA,Great Galaxy,90 .00,,
FOOD,VEG. WET,VEG.,ALU JEERA,Great Galaxy,90 .00,,
FOOD,VEG. WET,VEG.,VEG MANCHURIA,Great Galaxy,90 .00,,
FOOD,VEG. WET,VEG.,VEG BULLET,Great Galaxy,90 .00,,
FOOD,VEG. WET,VEG.,VEG GOLD COIN,Great Galaxy,120 .00,,
FOOD,VEG. WET,VEG.,VEG SNOW BALLS,Great Galaxy,120 .00,,
FOOD,VEG. WET,VEG.,VEG SPRING BALLS,Great Galaxy,120 .00,,
FOOD,VEG. WET,VEG.,VEG NOODLES,Great Galaxy,100 .00,,
FOOD,VEG. WET,VEG.,PANNER PAKODA,Great Galaxy,150 .00,,
FOOD,VEG. WET,VEG.,PANNER 65,Great Galaxy,150 .00,,
FOOD,VEG. WET,VEG.,PANEER MANCHURIA,Great Galaxy,150 .00,,
FOOD,VEG. WET,VEG.,PANEER CHILLY,Great Galaxy,150 .00,,
FOOD,VEG. WET,VEG.,PANEER PEPPAR,Great Galaxy,150 .00,,
FOOD,VEG. WET,VEG.,BABY CORN 65,Great Galaxy,150 .00,,
FOOD,VEG. WET,VEG.,BABY CORN CHILLY,Great Galaxy,150 .00,,
FOOD,VEG. WET,VEG.,BABY CORN MANCHURIA,Great Galaxy,140 .00,,
FOOD,VEG. WET,VEG.,MUSHROOM PAPPER,Great Galaxy,140 .00,,
FOOD,VEG. WET,VEG.,MUSHROOM CHILLY,Great Galaxy,140 .00,,
FOOD,VEG. WET,VEG.,MASHROOM MANCHURIA,Great Galaxy,140 .00,,
FOOD,VEG. WET,VEG.,CASHEWNUT  NUT DRY,Great Galaxy,160 .00,,
FOOD,GRAVY'S,VEG.,DAL FRY,Great Galaxy,90 .00,,
FOOD,GRAVY'S,VEG.,TOMATO CURRY,Great Galaxy,90 .00,,
FOOD,GRAVY'S,VEG.,PLAIN PALAK,Great Galaxy,90 . 00,,
FOOD,GRAVY'S,VEG.,CAPSICUM MASALA,Great Galaxy,90 .00,,
FOOD,GRAVY'S,VEG.,MIXED VEGITABLE CURRY,Great Galaxy,90 .00,,
FOOD,GRAVY'S,VEG.,ALU GOBI,Great Galaxy,90 .00,,
FOOD,GRAVY'S,VEG.,GOBI MASALA,Great Galaxy,100 .00,,
FOOD,GRAVY'S,VEG.,ALU MUTTER,Great Galaxy,100 .00,,
FOOD,GRAVY'S,VEG.,GREEN PEAS MASALA,Great Galaxy,100. 00,,
FOOD,GRAVY'S,VEG.,VEGETABLE KADAI,Great Galaxy,100 .00,,
FOOD,GRAVY'S,VEG.,VEG JAIPURI,Great Galaxy,100 .00,,
FOOD,GRAVY'S,VEG.,MALAI KOFTHA,Great Galaxy,100 .00,,
FOOD,GRAVY'S,VEG.,PALAK PANEER,Great Galaxy,100 .00,,
FOOD,GRAVY'S,VEG.,PANEER BUTTER MASALA,Great Galaxy,100. 00,,
FOOD,GRAVY'S,VEG.,PANEER MUTTER,Great Galaxy,100 .00,,
FOOD,GRAVY'S,VEG.,BABY CORN PANEER,Great Galaxy,130 .00,,
FOOD,GRAVY'S,VEG.,BABY CORN MASALA,Great Galaxy,130 .00,,
FOOD,GRAVY'S,VEG.,VEG KHEEMA CURRY,Great Galaxy,130 .00,,
FOOD,GRAVY'S,VEG.,VEG KHOLHAPURI,Great Galaxy,130 .00,,
FOOD,GRAVY'S,VEG.,VEG MAHARANI,Great Galaxy,130 .00,,
FOOD,GRAVY'S,VEG.,VEG SAHI KURMA,Great Galaxy,130 .00,,
FOOD,GRAVY'S,VEG.,DAL MAKHANI,Great Galaxy,130 .00,,
FOOD,GRAVY'S,VEG.,MALI DAL,Great Galaxy,110 .00,,
FOOD,GRAVY'S,VEG.,KOFTHA DAL,Great Galaxy,110 .00,,
FOOD,GRAVY'S,VEG.,PANEER SHAHI KURMA,Great Galaxy,110 .00,,
FOOD,GRAVY'S,VEG.,PANEER CASHEW MASALA,Great Galaxy,110 .00,,
FOOD,GRAVY'S,VEG.,METHI CHEMAN,Great Galaxy,110 .00,,
FOOD,GRAVY'S,VEG.,BABY CORN CASHEW,Great Galaxy,140 .00,,
FOOD,GRAVY'S,VEG.,CASEW CURRY,Great Galaxy,140 .00,,
FOOD,GRAVY'S,VEG.,MUSHROOM MASALA,Great Galaxy,140 .00,,
FOOD,GRAVY'S,VEG.,BUTTER MUSHROOM ,Great Galaxy,140 .00,,
FOOD,GRAVY'S,VEG.,MALAI MUSHROOM,Great Galaxy,140 .00,,
FOOD,GRAVY'S,VEG.,NAVARATNA KURMA,Great Galaxy,140 .00,,
FOOD,GRAVY'S,VEG.,GALAXY SPL VEG,Great Galaxy,160 .00,,
FOOD,TANDOORI ROTI,VEG.,ROTI,Great Galaxy,15. 00,,
FOOD,TANDOORI ROTI,VEG.,BUTTER ROTI,Great Galaxy,15 .00,,
FOOD,TANDOORI ROTI,VEG.,PUDHINA ROTI,Great Galaxy,20 .00,,
FOOD,TANDOORI ROTI,VEG.,METHI ROTI,Great Galaxy,20 .00,,
FOOD,TANDOORI ROTI,VEG.,VEG ROTI,Great Galaxy,20 .00,,
FOOD,TANDOORI ROTI,VEG.,PLAIN NAAN,Great Galaxy,20 .00,,
FOOD,TANDOORI ROTI,VEG.,PLAIN KULCHA,Great Galaxy,25 .00,,
FOOD,TANDOORI ROTI,VEG.,PLAIN PAROTA,Great Galaxy,25 .00,,
